   "t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
   0.0000000000000000e+00	   6.8493150684931503e-02	   3.0000000000000000e+02	   5.8899999999999997e-01	   1.0000000000000000e+00	   1.0000000000000000e+01	   1.2090280055999756e+00
   5.6198862058795562e-04	   9.2451518890458342e-02	   3.0000000000000000e+02	   5.8772325199416586e-01	   1.0000000000000000e+00	   1.0002809943102939e+01	   1.2090280055999756e+00
   3.3719317235277333e-03	   2.1100678262593531e-01	   3.0000000000000000e+02	   5.8148110738789793e-01	   1.0000000000000000e+00	   1.0016859658617639e+01	   1.2090280055999756e+00
   1.0000000000000000e-02	   4.8272660930430195e-01	   3.0000000000000000e+02	   5.6765149380012048e-01	   1.0000000000000000e+00	   1.0050000000000001e+01	   1.1729249954223633e+00
   2.0000000000000000e-02	   8.8522343477766641e-01	   3.0000000000000000e+02	   5.4897077675725980e-01	   1.0000000000000000e+00	   1.0100000000000000e+01	   1.1408810615539551e+00
   2.9999999999999999e-02	   1.2762905238743816e+00	   3.0000000000000000e+02	   5.3263595456532209e-01	   1.0000000000000000e+00	   1.0150000000000000e+01	   1.1123958826065063e+00
   4.0000000000000001e-02	   1.6562756236081757e+00	   3.0000000000000000e+02	   5.1837235411402138e-01	   1.0000000000000000e+00	   1.0199999999999999e+01	   1.0872750282287598e+00
   5.0000000000000003e-02	   2.0254656415942236e+00	   3.0000000000000000e+02	   5.0594394348809357e-01	   1.0000000000000000e+00	   1.0250000000000000e+01	   1.0651990175247192e+00
   5.5327996638450033e-02	   2.2188831929979123e+00	   3.0000000000000000e+02	   5.0000000000000044e-01	   1.0000000000000000e+00	   1.0276639983192251e+01	   1.0651990175247192e+00
   5.5327996638450477e-02	   2.2188831929979282e+00	   3.0000000000000000e+02	   5.0000000000000000e-01	   1.0000000000000000e+00	   1.0276639983192252e+01	   1.0651990175247192e+00
   5.5327996638450921e-02	   2.2188831929979442e+00	   3.0000000000000000e+02	   4.9999999999999950e-01	   1.0000000000000000e+00	   1.0276639983192254e+01	   1.0651990175247192e+00
   5.9999999999999998e-02	   2.3841441801297845e+00	   3.0000000000000000e+02	   4.9514708588508599e-01	   1.0000000000000000e+00	   1.0300000000000001e+01	   1.0458300113677979e+00
   6.4672003361549074e-02	   2.5491190107634414e+00	   3.0000000000000000e+02	   4.9061332152514120e-01	   1.0000000000000000e+00	   1.0323360016807746e+01	   1.0458300113677979e+00
   7.0000000000000007e-02	   2.7326134192099123e+00	   3.0000000000000000e+02	   4.8581379098603705e-01	   1.0000000000000000e+00	   1.0350000000000000e+01	   1.0289303064346313e+00
   8.0000000000000002e-02	   3.0711722536972701e+00	   3.0000000000000000e+02	   4.7780285715016102e-01	   1.0000000000000000e+00	   1.0400000000000000e+01	   1.0143494606018066e+00
   8.9999999999999997e-02	   3.4000878835414055e+00	   3.0000000000000000e+02	   4.7098536429738369e-01	   1.0000000000000000e+00	   1.0449999999999999e+01	   1.0018855333328247e+00
   1.0000000000000001e-01	   3.7196210344752290e+00	   3.0000000000000000e+02	   4.6524354318432892e-01	   1.0000000000000000e+00	   1.0500000000000000e+01	   9.9134790897369385e-01
   1.1000000000000000e-01	   4.0300262620933083e+00	   3.0000000000000000e+02	   4.6047018789336336e-01	   1.0000000000000000e+00	   1.0550000000000001e+01	   9.8255848884582520e-01
   1.2000000000000000e-01	   4.3315520960177345e+00	   3.0000000000000000e+02	   4.5656800653190222e-01	   1.0000000000000000e+00	   1.0600000000000000e+01	   9.7535246610641479e-01
   1.3000000000000000e-01	   4.6244409893154605e+00	   3.0000000000000000e+02	   4.5344893985478829e-01	   1.0000000000000000e+00	   1.0650000000000000e+01	   9.6957743167877197e-01
